Quote,Person
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain
"Don't cry because it's over, smile because it happened.",Dr. Seuss
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost
"One man can be a crucial ingredient on a team, but one man cannot make a team.",Kareem Abdul-Jabbar
"I hated every minute of training, but I said ""Don't Quit. Suffer now and live the rest of your life as a champion.""",Muhammad Ali
It ain't over till its over.,Yogi Berra
Your never a loser till you quit trying.,Mike Ditka
Let us never negotiate out of fear. But let us never fear to negotiate. ,John F. Kennedy
"There are no great limits to growth because there are no limits of human intelligence, imagination, and wonder.",Ronald Regan
"Life is a movie, pick your own role, climb your own ladder or you dig your own hole.",Jermaine Cole
"We all get distracted, the question is, would you bounce back or bounce backwards?",Kendrick Lamar
"During your life, never stop dreaming. No one can take away your dreams.",Tupac Shakur
A great man is hard on himself; a small man is hard on others.,Confucius
Carpe diem! (seize the day),Horace
Knowing how to think empowers you far beyond those who know only what to think.,Neil deGrasse Tyson
Out of your vulnerabilities will come your strength.,Sigmund Freud
"It's not about the number of hours you practice, it's about the number of hours your mind is present during the practice.",Kobe Bryant
Even a broke clock is right twice a day.,Kanye West
"It's not about what you're capable of, it's about what you're willing to do.",Mike Tomlin
"I've never really been aware of what is said about me, whether it's positive or negative. I ignore it. I've always had the mindset: ""No one can challenge me better than myself.""",Troy Polamalu
The hardest thing to do is work hard when no one is watching.,Ray Lewis
"If your dream ain't bigger than you, there's a problem with your dream.",Deion Sanders
Don't run too fast through life. You only have one.,Bo Jackson
The day you stop doing the small things is the day you think you're above everybody else.,Kevin Hart
Tell me and I forget. Teach me and I remember. Involve me and I learn,Benjamin Franklin
You're only given a little spark of madness. You mustn't lose it. ,Robin Williams
Life would be tragic if it weren't funny.,Stephen Hawking
